FlavorText-Rowe-1,Rowe,,R,The gas range is just... caked with old grime and burnt spots.,DUMMY
,Rowe,,R,I haven't cleaned it in a while.,
,Rowe,,R,...,
,Rowe,,R,Not gonna start now.,
FlavorText-Rowe-2,Rowe,,R,I don't need to go to the bathroom.,
FlavorText-Rowe-3,Rowe,,R,Pile of clothes.,
,Rowe,,R,Entropy is inevitable. Order is temporary.,
FlavorText-Rowe-4,Rowe,,R,Kitchen table.,
,Rowe,,R,Old cups of ramen are littered everywhere.,
FlavorText-Rowe-5,Rowe,,R,The wallpaper is peeling... gross.,
FlavorText-Rowe-6,Rowe,,R,Meds.,
FlavorText-Rowe-7,Rowe,,R,My bed. ,
,Rowe,,R,...,
,Rowe,,R,Not this time.,
,Rowe,,R,I have things to do.,
FlavorText-Rowe-8,Rowe,,R,There's my coat.,
,Rowe,,R,"I'm not going outside, though. I think everyone I need to talk to is indoors.",
,Rowe,,R,"I could get some pizza later, though.",
,Rowe,,R,That might be nice.,
FlavorText-Rowe-9,Rowe,,R,Keys.,
,Rowe,,R,"Not only my own, but for every other door on this floor.",
,Rowe,,R,I haven't used the others in a while.,
,Rowe,,R,I...,
,Rowe,,R,"No, this needs to happen.",
,,,,You pocket the KEYS.,HAS_KEYS
,Rowe,,R,The first person to leave was Darci.,
,Rowe,,R,The alternatives are... scarier. I should talk to her first.,
FlavorText-Leave,Rowe,,R,Alright.,
,Rowe,,R,Time to say hello.,
FlavorText-Leave-2,Rowe,,R,I can still hear Quinn.,
,Rowe,,R,I swear he never stops crying.,
,Rowe,,R,I think it's finally time to help stop his tears.,
FlavorText-Leave-3,Rowe,,R,And finally.,
,Rowe,,R,...,
,Rowe,,R,Kai. I know I can help them.,
,Rowe,,R,No matterhow stubborn they are. ,
,Rowe,,R,I know it's time for us all to be together again. All... Four of us.,
FlavorText-John,,,,"Oh, it's John.",
FlavorText-PictureFrame-1,Rowe,,R,Too much to be done to think about that.,
FlavorText-Easel-1,Rowe,,R,The ground here is a rainbow of paint splotches.,
FlavorText-Piano-1,Rowe,,R,I swear I can still hear the echoes of music.,
FlavorText-Trophyshelf-1,Rowe,,R,Been a long time since anyone here has felt like a winner.,
FlavorText-Plant-1,Rowe,,R,"... I guess you're lonely too, little buddy.",
Jessie-Door,,,,No.,
FlavorText-Trophyshelf-2,,,,You hear the sound of fists on hard canvas.,
,,,,"You haven't built up the resolve to talk to them yet...
",
FlavorText-Trophyshelf-3,,,,The sound of punching is louder now.,
,,,,Not yet.,
FlavorText-Piano-2,,,,You hear the sound of sobbing.,
,,,,You wait for a few minutes.,
,,,,...,
,,,,...,
,,,,...,
,,,,...,
,,,,...,
,,,,...,
,,,,He's still going.,
,,,,No way you're getting through to him yet.,
Darci-Door-Ready,,,,I never thought a still picture could live and breathe until I saw her art.,
,,,,"It’s like they put a piece of her lifeblood into every stroke, enough to give the final piece a beating heart.",
,,,,"She always looked to see the beauty in the world, digging for the good in everything.",
,,,,"Sometimes, good hearts are faced with the choice to either break or forget.",
,,,,But it’s time to help her remember.,
,,,,You unlock Darci's door with your KEYS.,
Quinn-Door-Ready,,,,It feels like forever since you've heard his music.,
,,,,He was the first to leave.,
,,,,"He always said he couldn’t dance, but watching him play was like watching a waltz.",
,,,,"Even with your ears plugged, it’d be hard not to hear the music just by watching.",
,,,,I think it’s time to pay him a visit,
Kai-Door-Ready,,,,They worked harder than any of us.,
,,,,I don’t think they could half-ass something even if he wanted to.,
,,,,"They were proud, but when they won, they were graceful.",
,,,,"I thought they would endure, but even the strongest of us crack.",
Darci-Complete-1,Rowe,,R,What are you working on now?,
,Darci,Sprites/Darci_1,,Don’t look! It’s a secret!,
,Rowe,,R,I can’t even have a hint?,
,Darci,Sprites/Darci_1,,Nope! That would ruin the surprise.,
,Darci,Sprites/Darci_1,,I know you’ll like it.,
,Darci,Sprites/Darci_1,,...,
,Darci,Sprites/Darci_2,,It’s nice to make something different.,
Quinn-Complete-1,Rowe,,R,Your playing hasn’t changed.,
,Quinn,Sprites/Quinn_1,,"Please, I haven’t so much as looked at my piano in so long. I’m so rusty.",
,Rowe,,R,I’m sure you’ll be back to your old self in no time.,
,Quinn,Sprites/Quinn_1,,I hope so.,
,Quinn,Sprites/Quinn_1,,...,
,Quinn,Sprites/Quinn_6,,I missed this.,
